Y	X	Z
1393.5	-424.82	2146
1321.45	-198.57	2217.34
1357.39	-436.7	2128
1337.86	-293.16	2184.34
1386.81	-255.36	2134
1442.16	-260.21	2176
1293.87	-357.43	2191.34
1377.81	-436.58	2212
1340.56	-273.39	2170.84
1334.88	-207.3	2156.84
1380	-226	2162.52
1373.9	-473.86	2172
1392	-172	2134.52
1426	-402	2167.52
1424	-286	2184.52
1376	-224	2177.52
1241.33	-374.81	2162.34
1408	-204	2137.34
1348.58	-259.52	2213.34
1288.98	-267.18	2187.84
1422.47	-211.12	2155.84
1474	-130	2127.34
1372.98	-494.54	2132
1377.13	-508.45	2149.52
1241.8	-339.94	2179.34
1386.69	-156.09	2194.34
1420.38	-221.02	2134
1410	-174	2105.52
1333.61	-248.86	2139.34
1414	-186	2152.52
1388	-224	2169.52
1394	-192	2119.34
1385.5	-137.53	2183.34
1409.42	-225.65	2104.34
1399.09	-532.19	2044
1426	-406	2117.52
1424	-402	2159.52
1361.9	-521.28	2138
1406	-188	2158.52
1330.81	-261.56	2157.34
1440.36	-174.4	2158
1394.22	-127.89	2146.34
1388	-192	2186.52
1424	-176	2176.52
1372	-394	2157.52
1198.13	-384.12	2160.84
1392.93	-543.57	2144
1406	-182	2165.52
1317.7	-249.54	2160.84
1284.99	-680.88	2204
1277.92	-708.27	2176
1238.51	-708.21	2136
1243.13	-727.24	2112
1317.62	-727.26	2119.65
1275.58	-657.73	2159.65
1237.92	-663.43	2176
1303.28	-652.27	2148
1256.05	-691.98	2154
1248.15	-662.45	2168
1256.74	-701.97	2110
1280.97	-651.06	2056
1241.82	-727.22	2152
1252.86	-662.11	2212
1256.39	-752.56	2120
1239.52	-746.8	2116
1219.83	-774.04	2166
1294.73	-679.35	2186
1244.06	-794.39	2168
1316	-764.93	2192
1245.61	-785.53	2142
1215.64	-789.61	2112
1290	-606	2159.65
1253.61	-771.58	2180
1250.37	-612.88	2144
1262.58	-866.39	2134
1119.36	-806.96	2129.43
1261.72	-562.92	2152
1270.77	-523.02	2098
1360.55	-366.77	2138
1308.89	-363.05	2120
1296	-363.48	2195.62
1283.9	-315.33	2106
1363.38	-356.15	2112
1387.36	-339.93	2162
1297.93	-331.59	2180
1320.69	-311.03	2152
1331.81	-309.58	2098
1369.4	-303.17	2128
1352.38	-342.12	2132
1359.12	-359.91	2198
1302.63	-380.19	2080
1384.11	-321.77	2146
1313.98	-330.6	2122
1331.5	-284.7	2112
1314.27	-403.12	2184
1350.2	-301.26	2134
1368.45	-261.69	2136
1295.55	-239.24	2164
1301.74	-250.2	2108
1333.4	-285.87	2094
1364.68	-285.22	2178
1283.53	-418.62	2164
1334.66	-263.97	2194
1326.47	-415.78	2124
1343.18	-227.4	2072
1382.41	-222.63	2068
1321.43	-471.29	2114
1334.55	-486.59	2122
1323.75	-194.32	2150
1294.84	-418.64	2169.62
1360.96	-187.78	2124
1336.19	-479.52	2140
1351.22	-195.8	2090
1288	-484	2163.62
1382.81	-191.1	2130
1311.54	-161.95	2142
1319.77	-208.38	2162
1283.1	-517.21	2175.62
1342.17	-209.69	2196
1349.98	-137.55	2150
1345.78	-161.52	2144
1233.4	-701.93	2179.89
1183.44	-700.47	2056
1185.42	-753.04	2134.89
1177.42	-725.04	2132.89
1176.31	-766	2168.89
1213.26	-670.35	2140
1207.96	-705.9	2158
1208.31	-744	2183.89
1207.19	-713.4	2070
1201.54	-659.56	2106
1174	-692	2178.89
1195.71	-708.55	2154
1172.69	-685.95	2144
1263.18	-599.27	2146.93
1199.32	-716.17	2150
1225	-630	2178.93
1192.13	-773.31	2129.89
1193.05	-666.21	2142
1180.27	-681.03	2166
1196	-722	2134.89
1174	-694	2151.89
1234.57	-644.8	2188
1185.88	-606.54	2166.89
1206.04	-792.76	2154
1190.51	-838.29	2158.89
1212	-828	2131.89
1211.95	-604.82	2110
1210.83	-788.46	2116
1223.55	-548.1	2160.89
1209.35	-817.21	2200
1199.35	-544.14	2202
1179.7	-843.73	2052
1149.98	-846.24	2086
1205.69	-589.97	2134
1275.09	-533.23	2094
1199.95	-523.55	2142
1219.7	-540.06	2122
1172.94	-861.18	2092
1228.6	-526.49	2157.89
1196	-776	2127.89
1224.5	-518.2	2118
1196	-774	2150.89
1184.42	-858.98	2126
1254.67	-538.7	2168
1224	-624	2160.89
1212.28	-508.23	2124
1201.55	-873.34	2148
1198.05	-859.23	2140
1208.5	-513.97	2064
1116.82	-747.93	2193.43
1251.1	-479.65	2194
1211.51	-518.26	2130.89
1285.44	-365.28	2199.62
1276.47	-342.3	2156
1247.75	-319.75	2155.62
1295.79	-331.06	2203.62
1314.78	-363.72	2184
1275.47	-335.55	2164
1272.87	-338.26	2196
1290.41	-288.58	2180.12
1279.83	-336.64	2194
1291.21	-343.28	2182
1308.49	-338.65	2160
1290.99	-292.68	2188.62
1300.03	-427.58	2160.62
1304	-324	2170.62
1282.57	-346.43	2140
1314.33	-331.95	2174
1280.13	-678.4	2200.25
1294.77	-299.42	2240
1326	-414	2142.62
1311.97	-312.33	2086
1261.75	-276.3	2174
1306	-408	2182.12
1241.68	-280.47	2166
1314.12	-253.22	2195.62
1329.77	-428.51	2197.62
1289.11	-260.96	2234
1245.3	-251.11	2188
1240.41	-261.01	2190
1324	-422	2174.62
1272.37	-230.29	2206.12
1295.69	-287.92	2160
1317.73	-453.21	2204.62
1304.85	-213.8	2166.12
1314.85	-189.8	2208.12
1296	-418	2189.62
1260.63	-406.2	2166
1320	-206	2167.12
1301.95	-442.47	2150
1329.98	-433.44	2180
1278.86	-450.83	2156
1298	-200	2200.12
1328	-328	2167.62
1288	-394	2174.12
1324	-424	2179.62
1282	-496	2168.12
1292	-290	2182.62
1272.9	-232.66	2098
1299.32	-214.92	2176
1271.12	-222.68	2228
1322.38	-205.3	2282
1546.83	-497.09	2115.75
1293.9	-173.23	2182
1255.22	-472.99	2116
1306	-406	2161.62
1285.22	-200.29	2156
1308	-476	2188.62
1293.32	-172.05	2256
1234.51	-193.81	2196
1282	-396	2194.62
1276	-382	2195.62
1263.02	-513.45	2164
1324	-400	2154.62
1286	-226	2168.12
1274	-376	2164.12
1149.29	-660.9	2180
1140.17	-821.52	2182
1117.54	-645.27	2210
1162.37	-595.22	2258
1131.58	-682.19	2132
1155.52	-833.21	2152
1159.84	-830.83	2156
1179.22	-613.89	2206
1105.41	-727.25	2100
1155.77	-798.47	2242
1176.7	-613.78	2208
1167.48	-647.88	2132
1116.12	-670.36	2172
1106.74	-705.89	2156
1156.21	-674.25	2180
1129.55	-605.22	2182
1140.54	-649.18	2166
1144.96	-586.04	2198
1138.47	-617.96	2232
1143.35	-700.29	2186
1138.53	-656.95	2180
1137.7	-681.48	2184
1147.13	-681.45	2140
1153.11	-541.24	2166
1114.44	-703.7	2130
1146.06	-579.58	2186
1115.81	-800.2	2124
1135.44	-746.51	2150
1158.57	-535.01	2150
1153.17	-559.81	2168
1199.71	-677.45	2172
1178.25	-685.14	2180
1144.58	-756.46	2082
1117.17	-714.29	2129.22
1096.2	-723.84	2220.22
1176	-720	2200.22
1542.64	-652.41	2157.22
1236.26	-604.75	2220.22
1108.66	-623.7	2224.72
1056.49	-682.77	2120.22
1118.93	-713.36	2188.22
1095.97	-736.55	2209.22
1171.02	-724.82	2236.22
1096.38	-690.04	2184.22
1178.97	-721.72	2208.22
1456.09	-2.39	2182.5
1213.06	-346.19	2225.25
1178.36	-357.22	2209.75
1182.59	-335.69	2187.25
1198.37	-282.16	2165.75
1208.53	-328.86	2193.25
1204.53	-332.86	2192.75
1179.91	-399.87	2190.75
1226	-308	2178.25
1216.91	-392.84	2196.75
1218.91	-410.84	2203.25
1202.78	-353.59	2208
1195.91	-381.87	2185.75
1227.14	-377.54	2204
1203.46	-335.08	2258
1181.08	-407.35	2204.25
1213.29	-281.47	2212
1211.54	-294.66	2136
1176.36	-307.16	2180
1227.09	-353.78	2218
1222.25	-416.83	2204.25
1199.5	-422.4	2194.75
1198.87	-267.72	2180.25
1191.45	-353.59	2182
1213.57	-248.48	2156
1175.7	-258.24	2206.25
1193.41	-420.31	2228.25
1205.41	-448.31	2149.25
1198.58	-471.79	2179.75
1224.58	-435.79	2196.75
1199.32	-257.46	2214
1206.98	-395.34	2164
1180.58	-487.79	2181.75
1189.75	-465.27	2163.25
1178.37	-266.95	2194
1197.75	-461.27	2199.25
1213.77	-227.52	2092
1177.3	-265.35	2218
